212626AZUL TURQUESA  0000000000000000.00000.0 
212662ROXO           0024000000030000.00000.0 
212668AZUL CLARO     0095000000190000.00000.0 
212694ROSA FLUOR     0020000000000000.00000.0 
212695VERDE FLUOR    0048000000060000.00000.0 
215401BRANCO         0000000000000000.00000.0 
215402PRETO          0000000000000000.00000.0 
215403PRATA          0000000000010000.00000.0A
215404BEGE           0002000000000000.00000.0A
215416VERDE          0003000000000000.00000.0A
215417LARANJA        0053000000060000.00000.0 
215418VERMELHO       0002000000000000.00000.0 
215422VERDE MUSGO    0012000200200000.00000.0 
215425AZUL MARINHO   0064000000030000.00000.0 
215430FERRUGEM       0067000000030000.00000.0 
215433VINHO          0048000000060000.00000.0 
215467MAGENTA        0001000000000000.00000.0A
215803PRATA          0000000000010000.00000.0 
215816VERDE          0000000000000000.00000.0 
215819AZUL           0001000000000000.00000.0 
215821CINZA          0000000000000000.00000.0 
215825AZUL MARINHO   0024000000030000.00000.0A
215826AZUL TURQUESA  0000000000000000.00000.0 
215829AZUL PETROLEO  0000000000000000.00000.0 
215830FERRUGEM       0021000000010000.00000.0 
215845CHUMBO         0003000000020000.00000.0A
215877GOIABA         0002000000000000.00000.0 
219301BRANCO         0486000300770000.50000.0A
219302PRETO          0001000000000000.00000.0C
219303PRATA          0000000000000000.00000.0 
229301BRANCO         0000000000000000.00000.0 
229302PRETO          0000000000000000.00000.0 
229303PRATA          0182000000040000.00000.0A
229316VERDE          0000000000000000.00000.0 
229317LARANJA        0040000100210000.00000.0 
229318VERMELHO       0209000000300000.00000.0A
229319AZUL           0002000000000000.00000.0C
229326AZUL TURQUESA  0002000000000000.00000.0 
229329AZUL PETROLEO  0001000000000000.00000.0 
229344CHUMBO AZUL TUR0000000000000000.00000.0 
229345CHUMBO         0000000000000000.00000.0 
229349PRETO AMARELO  0000000000000000.00000.0 
236801BRANCO         0001000000000000.00000.0 
236802PRETO          0369000100090000.50000.0 
236805AMARELO        0001000000000000.00000.0 
236816VERDE          0000000000000000.00000.0 
236856AZUL PASTEL    0000000000000000.00000.0C
236867MAGENTA        0000000000000000.00000.0 
243201BRANCO         0000000000000000.00000.0 
243202PRETO          0165000000210000.00000.0A
243204BEGE           0000000000000000.00000.0 
243216VERDE          0000000000000000.00000.0 
243217LARANJA        0000000000000000.00000.0 
243219AZUL           0000000000000000.00000.0 
243225AZUL MARINHO   0000000000000000.00000.0 
243245CHUMBO         0161000000250000.00000.0A
243601BRANCO         0231000100380000.00000.0 
243602PRETO          0077000000340000.00000.0 
243619AZUL           0009000000010000.00000.0C
274916VERDE          0995000100380000.00000.0A
274919AZUL           1350000200290000.00000.0A
274966MOSTARDA       0114000000000000.00000.0C
274973SALMAO         0069000000010000.00000.0C
275017LARANJA        0001000000000000.00000.0 
275019AZUL           0001000000000000.00000.0 
275030FERRUGEM       0352000000360000.00000.0A
275066MOSTARDA       0326000000180000.00000.0A
275067MAGENTA        0000000000000000.00000.0 
286601BRANCO         0603000100140000.00000.0 
286602PRETO          0566000100340000.00000.0 
286615AMARELO NEON   0049000000030000.00000.0 
286618VERMELHO       0523000200310000.00000.0 
286629AZUL PETROLEO  0045000000000000.00000.0 
286677GOIABA         0002000000000000.00000.0 
287016VERDE          0103000300340000.00000.0A
287017LARANJA        0044000000040000.00000.0C
287019AZUL           0100000300450000.00000.0A
287105AMARELO        0001000000000000.00000.0C
287111TABACO         0001000000000000.00000.0 
287112ROSA           0401000000030000.00000.0A
287116VERDE          0398000000000000.00000.0A
289301BRANCO         0401000000090000.00000.0 
289302PRETO          0495000000030000.00000.0 
289316VERDE          0035000100090000.00000.0 
289318VERMELHO       0393000100120000.00000.0 
289325AZUL MARINHO   0001000000000000.00000.0 
289339VERDE MUSGO CLA0000000000000000.00000.0 
289347AMARELO QUEIM  0241000000000000.00000.0 
289354VERDE PASTEL   0000000000000000.00000.0 
290201BRANCO         0915000100320000.00000.0 
290217LARANJA        0258000000000000.00000.0 
290218VERMELHO       0632000000120000.00000.0 
290219AZUL           0000000000000000.00000.0 
290229AZUL PETROLEO  0000000000000000.00000.0 
290237AZUL JEANS     0001000000000000.00000.0 
290247AMARELO QUEIM  0104000000000000.00000.0 
290292LARANJA PASTEL 0000000000000000.00000.0 
292218VERMELHO       1361001000660000.00000.0A
292219AZUL           1288000800800000.00000.0A
292221CINZA          0019000000000000.00000.0 
292618VERMELHO       0142000000020000.00000.0C
292619AZUL           0545000600760000.00000.0A
292621CINZA          0501000800440000.00000.0A
292916VERDE          0016000000000000.00000.0C
292917LARANJA        0893000200340000.00000.0A
292918VERMELHO       0834000400440000.00000.0A
293116VERDE          0332000000050000.00000.0C
293118VERMELHO       0873000200660000.00000.0B
293119AZUL           1460000200550000.00000.0A
293138AZUL CINZA     0000000000000000.00000.0 
294605AMARELO        0070000000000000.00000.0C
294619AZUL           1362000900400000.00000.0A
294673SALMAO         0974000400310000.00000.0B
294918VERMELHO       0806001200620000.00000.0A
294919AZUL           0109000000000000.00000.0 
294921CINZA          0745001000370000.00000.0A
2972                 0000000000000000.00000.0 
297202PRETO          0572000000000000.00000.0 
297203PRATA          0165000200050000.00000.0 
297212ROSA           0009000000000000.00000.0 
297241VERDE LIMAO    0378000100030000.00000.0 
