MA07007ADULTO / CAMISA DE MALHA / SILK                      3832CAMISETA SEAWAY S 373 FRENTE E COSTA    020330005.000430017700177001770000000000001770129  /  /    0000000500001        412 00106ALTO VERAO/25  
MA07007ADULTO / CAMISA DE MALHA / SILK                      3845CAMISETA SEAWAY S 378 FRENTE E COSTA    021500117.00260002020020200202000000000000202-175  /  /    0000004900001         78 00106ALTO VERAO/25  
MA07007ADULTO / CAMISA DE MALHA / SILK                      3847CAMISETA SEAWAY S 380 FRENTE            028000043.002320051300513005130000000000005130238  /  /    0000003700001        222 00106ALTO VERAO/25  
MA07007ADULTO / CAMISA DE MALHA / SILK                      3920CAMISETA SEAWAY S 392 FRENTE E COSTA    017060013.000390009300093000930000000000000930041  /  /    0000001300001        239 00106ALTO VERAO/25  
MA07007ADULTO / CAMISA DE MALHA / SILK                      9591CAMISETA SEAWAY S 447 FRENTE E COSTA    007930001.000820012600126001260000000000001260043  /  /    0000000100001        154 00106ALTO VERAO/25  
MA07007ADULTO / CAMISA DE MALHA / SILK                      9653CAMISETA SEAWAY S 452 FRENTE            010340000.000610017200172001720000000000001720111  /  /    0000000000001        282 00106ALTO VERAO/25  
MA09009ADULTO / REGATA / SILK                               0772REGATA SEAWAY S 110 ALGODAO             025610191.00008000050000500005000000000000005-194  /  /    0000019100001         63 00106ALTO VERAO/25  
MA09009ADULTO / REGATA / SILK                               2993REGATA SEAWAY S 139 ALGODAO             015530248.00003000000000000001000000000000001-250  /  /    0000024800001          0 00106ALTO VERAO/25  
MA09009ADULTO / REGATA / SILK                               3428REGATA SEAWAY S 198 ALGODAO             006720008.00202001410014100141000000000000141-069  /  /    0000000800001         70 00106ALTO VERAO/25  
MA09009ADULTO / REGATA / SILK                               3439REGATA SEAWAY S 140 ALGODAO             013530180.00001000010000100001000000000000001-180  /  /    0000018000001        100 00106ALTO VERAO/25  
MA09009ADULTO / REGATA / SILK                               3849REGATA SEAWAY S 170 ALGODAO             030950073.001940040000400004000000000000004000133  /  /    0000001700001        207 00106ALTO VERAO/25  
MA09009ADULTO / REGATA / SILK                               9160REGATA SEAWAY S 199 ALGODAO             015630001.000860019300193001930000000000001930106  /  /    0000000100001        225 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    1546REGATA SEAWAY 05 VISCOSE                000260060.00012000000000000001000000000000001-071  /  /    0000006000001          0 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    3959REGATA SEAWAY S 186 POLI心TER           002020122.00012000000000000002000000000000002-132  /  /    0000012200001X         0 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    4668REGATA SEAWAY 82 VISCOLINHO             001910062.00030000030000300003000000000000003-089  /  /    0000006200001         10 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    4669REGATA SEAWAY 83 VISCOLINHO             001980062.00055000050000500005000000000000005-112  /  /    0000006100001         10 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    4673REGATA SEAWAY 106 POLIESTER             007080120.00020000110001100011000000000000011-129  /  /    0000012000001         55 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    4702REGATA SEAWAY 86 POLIESTER              005070120.00013000000000000001000000000000001-132  /  /    0000012000001X         0 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    4771REGATA SEAWAY 109 POLIESTER             006300123.00015000110001100011000000000000011-116  /  /    0000012300001         74 00106ALTO VERAO/25  
MA10010ADULTO / REGATA / MALHA POP VARIA                    4956REGATA SEAWAY 120 ALGODAO               000560060.00015000000000000001000000000000001-074  /  /    0000006000001          0 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4528SHORT SEAWAY 210 MEDIO VIES EST         007110216.00021000210002100021000000000000021-216  /  /    0000021600001        100 00106ALTO VERAO/25  
